,time_interval,max_deltas,min_deltas,ratio_of_deltas_A,ratio_of_deltas_B,ratio_of_deltas_C,ratio_of_deltas_D,ratio_of_deltas_E,max_time_interval,min_time_interval,interval_length
26,"[1074.0, 2121.0, 1184.0, 1435.0]","[2121.0, 1435.0, 1184.0, 1074.0]","[1074.0, 1184.0, 1435.0, 2121.0]",0.0,0.0,0.0,0.0,0.0038204393505253103,2121.0,1074.0,1047.0
27,"[2121.0, 1184.0, 1435.0, 107.0]","[2121.0, 1435.0, 1184.0, 107.0]","[107.0, 1184.0, 1435.0, 2121.0]",0.0,0.0,0.0,0.0,0.0019860973187686196,2121.0,107.0,2014.0
28,"[1184.0, 1435.0, 107.0, 53066.0]","[53066.0, 1435.0, 1184.0, 107.0]","[107.0, 1184.0, 1435.0, 53066.0]",0.0,0.0,0.0,0.0,7.553012707943881e-05,53066.0,107.0,52959.0
29,"[1435.0, 107.0, 53066.0, 4385.0]","[53066.0, 4385.0, 1435.0, 107.0]","[107.0, 1435.0, 4385.0, 53066.0]",0.0,0.0,0.0,0.0,7.553012707943881e-05,53066.0,107.0,52959.0
30,"[107.0, 53066.0, 4385.0, 556.0]","[53066.0, 4385.0, 556.0, 107.0]","[107.0, 556.0, 4385.0, 53066.0]",0.0,0.0,0.0,0.0,7.553012707943881e-05,53066.0,107.0,52959.0
31,"[53066.0, 4385.0, 556.0, 1946.0000000000002]","[53066.0, 4385.0, 1946.0000000000002, 556.0]","[556.0, 1946.0000000000002, 4385.0, 53066.0]",0.0,0.0,0.0,0.0,7.617596648257475e-05,53066.0,556.0,52510.0
32,"[4385.0, 556.0, 1946.0000000000002, 3765.0000000000005]","[4385.0, 3765.0000000000005, 1946.0000000000002, 556.0]","[556.0, 1946.0000000000002, 3765.0000000000005, 4385.0]",0.0,0.0,0.0,0.0,0.0010446591799425438,4385.0,556.0,3829.0
33,"[556.0, 1946.0000000000002, 3765.0000000000005, 3875.0000000000005]","[3875.0000000000005, 3765.0000000000005, 1946.0000000000002, 556.0]","[556.0, 1946.0000000000002, 3765.0000000000005, 3875.0000000000005]",0.0,0.0,0.0,0.0,0.0012051822838204276,3875.0000000000005,556.0,3319.0000000000005
34,"[1946.0000000000002, 3765.0000000000005, 3875.0000000000005, 10493.0]","[10493.0, 3875.0000000000005, 3765.0000000000005, 1946.0000000000002]","[1946.0000000000002, 3765.0000000000005, 3875.0000000000005, 10493.0]",0.0,0.0,0.0,0.0,0.000468000468000468,10493.0,1946.0000000000002,8547.0
35,"[3765.0000000000005, 3875.0000000000005, 10493.0, 2224.0]","[10493.0, 3875.0000000000005, 3765.0000000000005, 2224.0]","[2224.0, 3765.0000000000005, 3875.0000000000005, 10493.0]",0.0,0.0,0.0,0.0,0.0004837344297980409,10493.0,2224.0,8269.0
36,"[3875.0000000000005, 10493.0, 2224.0, 1967.0000000000002]","[10493.0, 3875.0000000000005, 2224.0, 1967.0000000000002]","[1967.0000000000002, 2224.0, 3875.0000000000005, 10493.0]",0.0,0.0,0.0,0.0,0.0004691531785127844,10493.0,1967.0000000000002,8526.0
37,"[10493.0, 2224.0, 1967.0000000000002, 3358.0]","[10493.0, 3358.0, 2224.0, 1967.0000000000002]","[1967.0000000000002, 2224.0, 3358.0, 10493.0]",0.0,0.0,0.0,0.0,0.0004691531785127844,10493.0,1967.0000000000002,8526.0
38,"[2224.0, 1967.0000000000002, 3358.0, 1142.0]","[3358.0, 2224.0, 1967.0000000000002, 1142.0]","[1142.0, 1967.0000000000002, 2224.0, 3358.0]",0.0,0.0,0.0,0.0,0.0018050541516245488,3358.0,1142.0,2216.0
39,"[1967.0000000000002, 3358.0, 1142.0, 47551.0]","[47551.0, 3358.0, 1967.0000000000002, 1142.0]","[1142.0, 1967.0000000000002, 3358.0, 47551.0]",0.0,0.0,0.0,0.0,8.619017862914521e-05,47551.0,1142.0,46409.0
40,"[3358.0, 1142.0, 47551.0, 1601.0]","[47551.0, 3358.0, 1601.0, 1142.0]","[1142.0, 1601.0, 3358.0, 47551.0]",0.0,0.0,0.0,0.0,8.619017862914521e-05,47551.0,1142.0,46409.0
41,"[1142.0, 47551.0, 1601.0, 4106.0]","[47551.0, 4106.0, 1601.0, 1142.0]","[1142.0, 1601.0, 4106.0, 47551.0]",0.0,0.0,0.0,0.0,8.619017862914521e-05,47551.0,1142.0,46409.0
42,"[47551.0, 1601.0, 4106.0, 1170.0]","[47551.0, 4106.0, 1601.0, 1170.0]","[1170.0, 1601.0, 4106.0, 47551.0]",0.0,0.0,0.0,0.0,8.624221125029646e-05,47551.0,1170.0,46381.0
43,"[1601.0, 4106.0, 1170.0, 1351.0]","[4106.0, 1601.0, 1351.0, 1170.0]","[1170.0, 1351.0, 1601.0, 4106.0]",0.0,0.0,0.0,0.0,0.0013623978201634877,4106.0,1170.0,2936.0
44,"[4106.0, 1170.0, 1351.0, 4829.0]","[4829.0, 4106.0, 1351.0, 1170.0]","[1170.0, 1351.0, 4106.0, 4829.0]",0.0,0.0,0.0,0.0,0.0010931948619841486,4829.0,1170.0,3659.0
45,"[1170.0, 1351.0, 4829.0, 4195.0]","[4829.0, 4195.0, 1351.0, 1170.0]","[1170.0, 1351.0, 4195.0, 4829.0]",0.0,0.0,0.0,0.0,0.0010931948619841486,4829.0,1170.0,3659.0
46,"[1351.0, 4829.0, 4195.0, 5175.0]","[5175.0, 4829.0, 4195.0, 1351.0]","[1351.0, 4195.0, 4829.0, 5175.0]",0.0,0.0,0.0,0.0,0.0010460251046025104,5175.0,1351.0,3824.0
47,"[4829.0, 4195.0, 5175.0, 1291.0]","[5175.0, 4829.0, 4195.0, 1291.0]","[1291.0, 4195.0, 4829.0, 5175.0]",0.0,0.0,0.0,0.0,0.0010298661174047373,5175.0,1291.0,3884.0
48,"[4195.0, 5175.0, 1291.0, 5725.0]","[5725.0, 5175.0, 4195.0, 1291.0]","[1291.0, 4195.0, 5175.0, 5725.0]",0.0,0.0,0.0,0.0,0.0009021199819576004,5725.0,1291.0,4434.0
49,"[5175.0, 1291.0, 5725.0, 64.0]","[5725.0, 5175.0, 1291.0, 64.0]","[64.0, 1291.0, 5175.0, 5725.0]",0.0,0.0,0.0,0.0,0.0005299417064122947,5725.0,64.0,5661.0
